iter	RMSE
0	3734.546632
1	3500.181156
2	3288.588222
3	3090.192027
4	2903.290201
5	2730.415224
6	2576.279274
7	2429.147652
8	2297.880619
9	2175.119039
10	2056.886295
11	1945.708736
12	1848.251136
13	1754.332968
14	1670.217158
15	1590.867884
16	1518.501863
17	1448.120633
18	1385.599694
19	1326.342092
20	1270.706279
21	1222.82488
22	1176.049754
23	1134.461491
24	1095.408841
25	1058.571622
26	1025.695926
27	994.7011941
28	964.8920836
29	937.4251441
30	912.2760885
31	889.4433938
32	867.7039179
33	847.7970342
34	829.5608524
35	814.7796619
36	800.3782843
37	785.2147014
38	772.2166559
39	759.9480685
40	749.3147164
41	738.4269074
42	727.2496226
43	717.4612945
44	709.3756807
45	701.9296226
46	694.198453
47	686.8777595
48	679.7341078
49	673.2300095
50	667.623651
51	662.3596478
52	657.2994309
53	652.0935134
54	646.3339906
55	642.2408186
56	638.5237169
57	634.6136334
58	630.9480423
59	627.6573376
60	624.5016191
61	621.5788723
62	618.6175121
63	615.9692133
64	613.2615065
65	610.4331528
66	607.5161132
67	605.656586
68	603.2646302
69	601.2945252
70	599.8327614
71	598.385211
72	595.8085258
73	593.8001809
74	592.4025609
75	591.0059779
76	589.0367225
77	587.2783989
78	586.0357509
79	583.9219412
80	582.9032794
81	581.1260306
82	579.3882174
83	578.0412701
84	576.8783149
85	576.0509649
86	574.8703563
87	573.9173733
88	571.9893344
89	570.598575
90	569.3788483
91	568.382976
92	567.4662839
93	566.703576
94	565.4791238
95	564.4801124
96	563.6834136
97	562.8653033
98	562.0325317
99	561.2828555
100	560.7745071
101	560.1862139
102	559.178154
103	558.5923935
104	557.0991085
105	556.1943738
106	555.5438963
107	554.9148782
108	554.2047017
109	553.353345
110	552.4324762
111	552.0708993
112	550.9526896
113	550.409303
114	549.4692329
115	548.2835015
116	547.3539884
117	546.8225641
118	546.0870276
119	545.4662172
120	545.1513246
121	544.6081882
122	544.0816351
123	543.6996484
124	543.0429751
125	542.5291977
126	541.9349948
127	541.2479852
128	541.024117
129	540.5921031
130	539.9834788
131	539.6682767
132	539.0596391
133	538.7798238
134	538.3469377
135	537.8323856
136	537.5952235
137	537.1356625
138	536.8426074
139	536.6234908
140	536.266145
141	535.892901
142	535.0381315
143	534.5019653
144	534.2367983
145	533.7820951
146	533.2790176
147	532.7530592
148	532.4718964
149	531.6393294
150	531.3527266
151	530.8560203
152	530.5671687
153	529.7690501
154	529.3411456
155	528.6450965
156	528.3849271
157	527.6864079
158	527.0606484
159	526.796656
160	526.4286635
161	526.1282115
162	525.6227734
163	525.2841746
164	525.0784976
165	524.7769109
166	524.2247672
167	524.0078178
168	523.708399
169	523.2205556
170	522.8535063
171	522.3764503
172	521.9041651
173	521.6636562
174	521.2402216
175	521.0214058
176	520.673689
177	520.4757433
178	520.243657
179	519.827636
180	519.5701316
181	519.1198401
182	518.9231877
183	518.4757671
184	518.0543724
185	517.6909316
186	517.4479143
187	517.1416721
188	516.9071484
189	516.6218239
190	516.1581162
191	515.6912162
192	515.2212383
193	514.8966771
194	514.5766775
195	514.3208299
196	514.0157193
197	513.7416789
198	513.4914675
199	513.2584324
200	512.9771461
201	512.6160267
202	512.2041996
203	511.8662062
204	511.5722783
205	511.3279406
206	511.0116494
207	510.8008855
208	510.4286592
209	510.0936111
210	509.8364531
211	509.6241889
212	509.2656781
213	509.0254525
214	508.663422
215	508.5432409
216	508.3614484
217	508.218348
218	508.0343233
219	507.8699671
220	507.6981238
221	507.4641448
222	507.3014788
223	507.1792619
224	506.9108809
225	506.5915086
226	506.3907534
227	506.1713463
228	505.9981851
229	505.8015189
230	505.5886297
231	505.4539817
232	505.2242418
233	505.0212771
234	504.7556196
235	504.4862757
236	504.2701807
237	504.0647672
238	503.8567969
239	503.697964
240	503.4871915
241	503.0493039
242	502.8143247
243	502.584799
244	502.4280278
245	502.3226065
246	502.0812909
247	501.9736787
248	501.8066035
249	501.5639858
250	501.2659329
251	501.0626207
252	500.8609815
253	500.6573251
254	500.5657279
255	500.3415315
256	500.1817519
257	500.0282476
258	499.7128259
259	499.3226035
260	499.0413978
261	498.8044495
262	498.6144271
263	498.4977536
264	498.2155847
265	498.1322574
266	497.9367224
267	497.7402683
268	497.4411063
269	497.0979675
270	496.8044765
271	496.7420671
272	496.5545582
273	496.3625914
274	496.1127844
275	495.977146
276	495.7254922
277	495.5971734
278	495.4191207
279	495.0604128
280	494.8125825
281	494.5546293
282	494.1194414
283	493.9515223
284	493.7895926
285	493.6843613
286	493.5235457
287	493.2261797
288	493.1266324
289	492.9850265
290	492.6609733
291	492.5387205
292	492.382999
293	492.1768613
294	491.9715308
295	491.716129
296	491.6753517
297	491.5323292
298	491.3366276
299	491.0817585
300	490.9792232
301	490.71584
302	490.4606665
303	490.084053
304	489.8279175
305	489.6916593
306	489.4880711
307	489.3775626
308	489.2529961
309	489.1096464
310	488.9515942
311	488.8765607
312	488.6798013
313	488.5273337
314	488.4596317
315	488.3785926
316	488.3054735
317	488.1434573
318	487.9350133
319	487.8295555
320	487.6745479
321	487.3633077
322	487.2770447
323	486.986193
324	486.8790092
325	486.6622793
326	486.4888965
327	486.2306409
328	486.0159774
329	485.7771711
330	485.598592
331	485.5109706
332	485.3900086
333	485.2003435
334	485.1045681
335	485.0168717
336	484.7706269
337	484.5658811
338	484.2260371
339	484.0083991
340	483.7667772
341	483.6648843
342	483.552283
343	483.2820542
344	483.1153573
345	482.9580866
346	482.8780525
347	482.7162126
348	482.6006596
349	482.4458051
350	482.3330984
351	482.2470883
352	482.1123686
353	482.0054925
354	481.8733945
355	481.695426
356	481.4673691
357	481.3421488
358	481.154515
359	481.0066555
360	480.7824775
361	480.4527884
362	480.350429
363	480.2013413
364	480.1575942
365	480.0573511
366	479.9842411
367	479.8319978
368	479.7659839
369	479.6564573
370	479.4900894
371	479.2788038
372	479.0709454
373	478.9510916
374	478.7593839
375	478.4964943
376	478.3201529
377	478.1311764
378	477.8859966
379	477.8164036
380	477.5473709
381	477.2392547
382	477.0613775
383	476.8728578
384	476.7160275
385	476.5956935
386	476.3632735
387	476.2767113
388	476.1439798
389	476.0602739
390	475.9501243
391	475.7396376
392	475.5741319
393	475.4447386
394	475.3714035
395	475.3081233
396	475.1507924
397	475.1308902
398	475.0198175
399	474.8753565
400	474.7473566
401	474.6196964
402	474.3774165
403	474.2609616
404	474.1091362
405	473.9767939
406	473.802682
407	473.6930283
408	473.6434226
409	473.5475431
410	473.5107871
411	473.4738987
412	473.2630897
413	473.120751
414	473.0587239
415	472.9828058
416	472.8560464
417	472.6983288
418	472.6404351
419	472.5506976
420	472.4818178
421	472.2591866
422	472.0610442
423	471.9601753
424	471.8734647
425	471.7736412
426	471.7401212
427	471.6410964
428	471.481847
429	471.3495795
430	471.1897269
431	470.9910923
432	470.8557959
433	470.7737973
434	470.6571549
435	470.5082355
436	470.4136678
