"id_cliente";"n_polizas_tomador_ahorro";"n_polizas_tomador_autos";"n_polizas_tomador_jubilacion";"n_polizas_tomador_jubilacion_golf";"n_polizas_tomador_no_vida";"n_polizas_tomador_rc";"n_polizas_tomador_rentas";"n_polizas_tomador_riesgo_tomador";"n_polizas_tomador_vida_riesgo";"n_polizas_tomador_vida_riesgo_pm";"n_polizas_tomador_no_vida"
126;0;4;0;0;0;0;0;0;0;0;0
127;2;0;0;0;0;0;0;0;0;0;0
128;1;0;0;0;0;0;0;0;0;0;0
129;0;0;0;0;1;0;0;0;0;0;1
130;1;0;0;0;1;0;0;0;0;0;1
131;0;0;0;0;1;0;0;0;0;0;1
132;0;0;1;0;0;0;0;0;0;0;0
133;0;0;0;0;1;0;0;0;0;0;1
134;0;0;0;0;2;0;0;0;0;0;2
135;2;0;0;0;0;0;0;0;0;0;0
136;0;0;0;0;1;0;0;0;0;0;1
137;4;0;0;0;1;0;0;0;0;0;1
138;0;0;0;0;1;0;0;0;0;0;1
139;3;0;0;0;0;0;0;0;0;0;0
140;0;1;0;0;0;0;0;0;0;0;0
141;1;0;0;0;0;0;0;0;0;1;0
142;1;0;0;0;0;0;0;0;0;0;0
143;2;0;0;0;0;0;0;0;0;0;0
144;0;0;0;0;3;0;0;0;0;0;3
145;3;0;0;0;0;0;0;0;0;0;0
146;1;0;0;0;0;0;1;0;0;0;0
147;0;0;0;0;1;0;0;0;0;0;1
148;3;0;0;0;0;0;0;0;0;0;0
149;1;0;0;0;0;0;0;0;0;0;0
150;0;0;0;0;1;0;0;0;0;0;1
151;0;0;0;0;1;0;0;0;0;0;1
152;2;0;0;0;0;0;0;0;0;1;0
153;1;0;0;0;0;0;0;0;0;0;0
154;0;0;0;0;0;0;0;1;0;0;0
155;0;0;0;0;1;0;0;0;0;0;1
156;1;0;0;0;0;0;0;0;0;0;0
157;1;0;0;0;0;0;0;0;0;0;0
158;2;0;0;0;0;0;0;0;0;0;0
159;0;0;0;0;1;0;0;0;0;0;1
160;0;0;0;0;1;0;0;0;0;0;1
161;0;0;0;0;1;0;0;0;0;0;1
162;0;0;0;0;1;0;0;0;0;0;1
163;0;0;0;0;1;0;0;0;0;0;1
164;1;0;0;0;0;0;1;0;0;0;0
165;1;0;0;0;0;0;0;0;0;0;0
166;0;0;0;0;1;0;0;0;0;0;1
167;3;0;0;0;1;0;0;0;0;0;1
168;1;0;0;0;0;0;1;0;0;1;0
169;2;0;0;0;0;0;0;0;0;0;0
170;3;0;0;0;0;0;0;0;0;0;0
171;1;0;0;0;0;0;0;0;0;0;0
172;1;0;0;0;0;0;0;0;0;0;0
173;4;0;0;0;1;0;0;0;0;1;1
174;7;0;0;0;0;0;1;0;0;0;0
175;0;0;0;0;3;0;0;0;0;0;3
176;0;1;0;0;0;0;0;0;0;0;0
177;1;0;0;0;0;0;0;0;0;0;0
178;4;0;0;0;1;0;1;0;0;0;1
179;0;0;0;0;1;0;0;0;0;0;1
180;0;5;0;0;0;0;0;0;0;0;0
181;1;0;0;0;1;0;0;0;0;0;1
182;3;0;0;0;1;0;1;0;0;0;1
183;2;0;0;0;2;0;0;0;0;0;2
184;1;0;0;0;0;0;0;0;0;0;0
185;0;0;0;0;1;0;0;0;0;0;1
186;2;0;0;0;0;0;0;0;0;0;0
187;2;0;0;0;1;0;0;0;0;1;1
188;2;0;0;0;0;0;0;0;0;0;0
189;0;0;0;0;1;0;0;0;0;0;1
190;1;0;0;0;0;0;0;0;0;0;0
191;0;0;0;0;1;0;0;0;0;0;1
192;0;2;0;0;0;0;0;0;0;0;0
193;3;0;0;0;1;0;0;0;0;0;1
194;2;0;0;0;0;0;0;0;0;1;0
195;1;0;0;0;3;0;0;0;0;0;3
196;1;0;0;0;0;0;0;0;0;0;0
197;1;0;0;0;1;0;0;0;0;1;1
198;8;0;0;0;1;0;1;0;0;0;1
199;0;1;0;0;0;0;0;0;0;0;0
200;2;0;0;0;0;0;0;0;0;0;0
201;2;0;0;1;0;0;1;0;0;0;0
202;4;0;0;0;0;0;0;1;0;0;0
203;1;0;0;0;0;0;0;0;0;0;0
204;8;0;0;0;1;0;0;0;0;1;1
205;1;0;0;0;0;0;0;0;0;0;0
206;0;0;0;0;2;0;0;0;0;0;2
207;0;0;0;1;0;0;0;0;0;0;0
208;0;1;0;0;0;0;0;0;0;0;0
209;1;0;0;0;0;0;0;0;0;0;0
210;1;0;0;0;0;0;0;0;0;0;0
211;0;1;0;0;0;0;0;0;0;0;0
212;0;0;0;0;2;0;0;0;0;0;2
213;1;0;0;0;0;0;0;0;0;1;0
214;3;0;0;0;2;0;0;0;0;0;2
215;1;0;0;0;0;0;0;0;0;0;0
216;3;0;0;0;0;0;0;0;0;0;0
217;0;0;0;0;2;0;0;0;0;0;2
218;0;1;0;0;0;0;0;0;0;0;0
219;0;0;0;1;1;0;0;0;0;0;1
