"id_cliente";"sexo";"estado_civil";"tipo_baja";"familia_captacion"
159;"M";"S";"nunca";"No_vida"
160;"M";"S";"nunca";"No_vida"
161;"H";"S";"nunca";"No_vida"
162;"H";"S";"total";"No_vida"
163;"M";"S";"nunca";"Vida_Riesgo"
164;"M";"V";"nunca";"Ahorro"
165;"M";"C";"nunca";"Ahorro"
166;"M";"";"total";"No_vida"
167;"H";"";"total";"Ahorro"
168;"H";"D";"nunca";"Ahorro"
169;"M";"C";"total";"Ahorro"
170;"H";"D";"parcial";"Ahorro"
171;"M";"S";"nunca";"Ahorro"
172;"H";"";"nunca";"Ahorro"
173;"M";"C";"parcial";"Ahorro"
174;"H";"D";"parcial";"Ahorro"
175;"M";"S";"total";"No_vida"
176;"H";"S";"nunca";"Autos"
177;"M";"C";"total";"Ahorro"
178;"M";"C";"parcial";"Ahorro"
179;"H";"S";"nunca";"No_vida"
180;"H";"C";"parcial";"Autos"
181;"H";"";"total";"No_vida"
182;"H";"C";"total";"Ahorro"
183;"H";"";"total";"Ahorro"
184;"M";"C";"nunca";"Ahorro"
185;"H";"S";"nunca";"No_vida"
186;"H";"";"fallecido";"Ahorro"
187;"H";"C";"total";"Ahorro"
188;"M";"C";"parcial";"Ahorro"
189;"M";"C";"nunca";"No_vida"
190;"M";"C";"total";"Ahorro"
191;"H";"S";"nunca";"No_vida"
192;"H";"";"total";"Autos"
193;"H";"C";"total";"Ahorro"
194;"M";"";"parcial";"Ahorro"
195;"H";"C";"nunca";"Ahorro"
196;"M";"C";"nunca";"Ahorro"
197;"M";"D";"parcial";"No_vida"
198;"H";"V";"total";"Ahorro"
199;"H";"C";"total";"Autos"
200;"H";"";"parcial";"Ahorro"
201;"M";"C";"parcial";"Ahorro"
202;"M";"";"parcial";"Ahorro"
203;"H";"C";"parcial";"Ahorro"
204;"H";"C";"parcial";"No_vida"
205;"H";"C";"parcial";"Ahorro"
206;"H";"S";"parcial";"No_vida"
207;"H";"";"nunca";"Jubilacion_GOLF"
208;"H";"S";"total";"Autos"
209;"M";"C";"nunca";"Ahorro"
210;"M";"V";"nunca";"Ahorro"
211;"M";"";"total";"Autos"
212;"M";"S";"parcial";"No_vida"
213;"H";"C";"parcial";"Ahorro"
214;"H";"C";"parcial";"Ahorro"
215;"H";"C";"total";"Ahorro"
216;"M";"V";"total";"Ahorro"
217;"H";"C";"parcial";"No_vida"
218;"M";"D";"total";"Autos"
219;"M";"S";"parcial";"Jubilacion_GOLF"
220;"H";"C";"nunca";"Vida_Riesgo"
221;"H";"";"parcial";"Autos"
222;"H";"";"parcial";"Vida_Riesgo"
223;"M";"";"parcial";"Ahorro"
224;"M";"";"total";"Vida_Riesgo"
225;"H";"C";"parcial";"Autos"
226;"H";"C";"parcial";"Ahorro"
227;"H";"D";"nunca";"No_vida"
228;"M";"S";"nunca";"Ahorro"
229;"M";"S";"nunca";"No_vida"
230;"M";"S";"parcial";"No_vida"
231;"M";"";"nunca";"Ahorro"
232;"M";"S";"total";"No_vida"
233;"M";"S";"total";"No_vida"
234;"M";"";"total";"Ahorro"
235;"H";"S";"total";"Vida_Riesgo"
236;"H";"C";"parcial";"Ahorro"
237;"H";"S";"total";"No_vida"
238;"M";"C";"total";"Ahorro"
239;"H";"V";"parcial";"Ahorro"
240;"H";"C";"total";"No_vida"
241;"H";"";"nunca";"Ahorro"
242;"M";"";"total";"Ahorro"
243;"M";"S";"nunca";"No_vida"
244;"H";"C";"nunca";"No_vida"
245;"M";"";"nunca";"Ahorro"
246;"H";"";"total";"Ahorro"
247;"M";"S";"total";"No_vida"
248;"H";"";"total";"Ahorro"
249;"H";"C";"total";"Ahorro"
250;"M";"";"nunca";"Ahorro"
251;"H";"C";"parcial";"Ahorro"
252;"H";"C";"parcial";"Ahorro"
253;"H";"C";"nunca";"Ahorro"
254;"H";"";"nunca";"Ahorro"
255;"H";"D";"total";"Ahorro"
256;"H";"";"nunca";"Ahorro"
257;"M";"";"total";"Ahorro"
258;"M";"S";"total";"No_vida"
259;"H";"C";"fallecido";"Ahorro"
260;"M";"S";"total";"No_vida"
261;"H";"V";"fallecido";"Ahorro"
262;"H";"C";"parcial";"No_vida"
263;"M";"C";"nunca";"Ahorro"
264;"H";"C";"parcial";"Ahorro"
265;"H";"C";"parcial";"No_vida"
266;"H";"C";"fallecido";"Ahorro"
